SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/2/pdata/991/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.136e+00     5.061e-02  
T     =       6.598s    222271308097384.781s  

RSS   =    2.318e-03
SD    =    8.791e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.027e+00     2.669e-02
    2       2.000s     8.983e-01     8.894e-01    -8.935e-03
    3       3.000s     7.906e-01     7.714e-01    -1.912e-02
    4       4.000s     6.883e-01     6.701e-01    -1.825e-02
    5       5.000s     5.943e-01     5.829e-01    -1.135e-02
    6       6.000s     5.099e-01     5.081e-01    -1.823e-03
    7       7.000s     4.390e-01     4.437e-01     4.741e-03
    8       8.000s     3.794e-01     3.885e-01     9.055e-03
    9       9.000s     3.304e-01     3.409e-01     1.054e-02
   10      10.000s     2.878e-01     3.001e-01     1.231e-02
   11      11.000s     2.551e-01     2.650e-01     9.936e-03
   12      12.000s     2.278e-01     2.349e-01     7.068e-03
   13      13.000s     2.065e-01     2.090e-01     2.428e-03
   14      14.000s     1.846e-01     1.867e-01     2.042e-03
   15      15.000s     1.675e-01     1.675e-01     1.305e-05
   16      16.000s     1.530e-01     1.511e-01    -1.918e-03
   17      17.000s     1.387e-01     1.370e-01    -1.725e-03
   18      18.000s     1.293e-01     1.248e-01    -4.510e-03
   19      19.000s     1.193e-01     1.144e-01    -4.935e-03
   20      20.000s     1.104e-01     1.054e-01    -5.011e-03
   21      21.000s     1.012e-01     9.771e-02    -3.520e-03
   22      22.000s     9.407e-02     9.108e-02    -2.989e-03
   23      23.000s     9.017e-02     8.539e-02    -4.781e-03
   24      24.000s     8.353e-02     8.050e-02    -3.033e-03
   25      25.000s     7.760e-02     7.629e-02    -1.309e-03
   26      26.000s     7.399e-02     7.268e-02    -1.309e-03
   27      27.000s     6.983e-02     6.958e-02    -2.534e-04
   28      28.000s     6.462e-02     6.691e-02     2.288e-03
   29      29.000s     6.178e-02     6.462e-02     2.839e-03
   30      30.000s     5.783e-02     6.265e-02     4.819e-03

============================================================

