omegatau 185.0K

1.25651139773 0.48965103
1.01580256861 0.464041401
0.821212319648 0.43791035
0.664069855116 0.40003665
0.536678273013 0.3621681415
0.43384137909 0.335158992
0.350865633924 0.299089752
0.283666967063 0.2664937116
0.229311130971 0.2439648112
0.185347683376 0.220151037
0.149897951873 0.1956894282
0.121114679981 0.17859214
0.0978731775299 0.168885834
0.0791241525733 0.160850389
0.0639691096124 0.154517037
0.0517772168423 0.1542557914
0.041849784057 0.14886441
0.0337809174855 0.1524962096
0.0273620153757 0.1485814212
0.0220923078586 0.1491775747
