omegatau 250.1K

0.00521277462558 0.0322587738
0.00407992541452 0.0256755408
0.00319236177815 0.0204218725
0.00249776829157 0.01644514326
0.00249776829157 0.01579354686
0.00195480351783 0.01242933982
0.00153018056228 0.00996424722
0.00119723341611 0.0077534433
0.000937089947944 0.0061017935
0.000732963344819 0.0048336561
0.000574062084105 0.00379764612
0.000449151513019 0.00297872297
0.000351480413298 0.00232652936
0.000275105627555 0.00180990546
0.000215181397198 0.001432177299
0.000168235667122 0.001122948859
0.000131742595435 0.000878958531
0.000103074680978 0.000692042043
8.06679349625e-05 0.000538972952
6.32372799363e-05 0.00042629672
4.93594861036e-05 0.000333974232
3.86279163799e-05 0.00026022164
3.03309558672e-05 0.000204921596
2.36579370446e-05 0.00015923842
1.85814901083e-05 0.0001249839905
1.45062566601e-05 9.84187935e-05
1.13649851823e-05 7.673164e-05
8.91134744099e-06 6.07537177e-05
6.95818611138e-06 4.72296942e-05
5.42417377657e-06 3.66425681e-05
4.23867027636e-06 2.8668143e-05
3.3380734001e-06 2.2455321e-05
2.58694171888e-06 1.754832408e-05
